question,choices,answer
"Trafik kazası sonucu orbitanın medial duvarında 2. kırık tespit edilen bir hastada, kırık hattının aşağıdaki kemik yapıların hangisinden geçmesi en az olasıdır?","A) Crista lacrimalis anterior 
 B) Crista lacrimalis posterior 
 C) Lamina perpendicularis (os ethmoidale) 
 D) Processus frontalis (Maxilla) 
 E) Corpus ossis sphenoidalis",C
"Solunum sıkıntısı şikâyetiyle başvuran bir hastanın toraks görüntülenmesinde bifurcatio tracheae’nin alt komşuluğundaki lenf nodülleri tarafından bası altında olduğu izleniyor. 
 Bu hastada izlenen nodüller aşağıdakilerden hangisidir?","A) Nodi lymphoidei bronchopulmonales 
 B) Nodi lymphoidei intrapulmonales 
 C) Nodi lymphoidei paratracheales 
 D) Nodi lymphoidei intercostales 
 E) Nodi lymphoidei tracheobronchiales",C
"Lisfranc hattı"" olarak da bilinen ve distal ayak amputasyonlarının yapıldığı eklem hattı aşağıdakilerden hangisidir?","A) Articulatio tarsi transversa 
 B) Articulationes tarsometatarsales 
 C) Articulatio calcaneocuboidea 
 D) Articulatio talocalcaneonavicularis 
 E) Articulatio talocalcanea",B
"I. Arteria cerebelli superior’un dalıdır. 
 II. 8. kafa çifti ile birlikte meatus acusticus internus’tan geçer. 
 III. Auris interna’yı kanlandırır. 
 IV. Beyin tabanında 7. kafa çifti ile komşuluğu vardır. 
 Arteria labyrinthi ile ilgili yukarıdaki ifadelerden hangileri doğrudur?","A) II ve III 
 C) II, III ve IV 
 B) I, II ve III 
 D) I, II ve IV 
 E) I, II, III ve IV",C
Musculus stapedius ve musculus tensor tympani’ye etki ederek işitmede etkili olan sinirler aşağıdakilerden hangisinde birlikte verilmiştir?,"A) Nervus maxillaris – Nervus mandibularis 
 B) Nervus mandibularis – Nervus vagus 
 C) Nervus facialis – Nervus mandibularis 
 D) Nervus facialis – Nervus vagus 
 E) Nervus vagus – Nervus accessorius",C
Sella turcica bölgesindeki bir lezyonun aşağıdaki yapılardan hangisini etkilemesi en az olasıdır?,"A) Arteria carotis interna 
 B) Nervus trochlearis 
 C) Nervus ophthalmicus 
 D) Nervus abducens 
 E) Nervus mandibularis",E
Karpal tünel sendromunda aşağıdaki fizik muayene bulgularından hangisinin görülmesi beklenmez?,"A) Başparmak fleksiyon kusuru 
 B) Başparmak abduksiyon kusuru 
 C) Başparmak oppozisyon kusuru 
 D) İkinci parmak palmar yüzde duyu kaybı 
 E) Hipotenar bölgede duyu kaybı",E
Medulla spinalis’te columna intermediolateralis’den çıkan preganglionik sempatik lifler aşağıdaki anatomik yapılardan hangisiyle truncus sympathicus’a iletilir?,"A) Ramus posterior (dorsalis) nervus spinalis 
 B) Radix posterior nervus spinalis 
 C) Nervus erigentes 
 D) Ramus communicans albus 
 E) Ramus communicans griseous",D
"Göğüs ön duvarından delici bıçak yaralanması ile gelen bir hastada, yaralanmanın akciğer orta lobunu zedelemesi için en olası lokalizasyon aşağıdakilerden hangisidir?","A) Sağ paravertebral çizgide T7 vertebra seviyesinde 
 B) Sağ parasternal çizgide angulus sterni hizasında 
 C) Sol paravertebral çizgide T4 vertebra seviyesinde 
 D) Sağ parasternal çizgide 4. ve 6. kostalar arasında 
 E) Sağ midaksiller çizgide 9. ve 10. kostalar arasında",D
Aşağıdaki anatomik yapılardan hangisi organogenez esnasında intraperitoneal olup sonrasında retroperitoneal hâle gelmiştir?,"A) Splen 
 C) Colon descendens 
 E) Jejunum 
 B) Colon sigmoideum 
 D) Gaster",C
Endoskopik bir girişim esnasında ductus choledochus açıklığının sindirim kanalının hangi bölümünde gözlenmesi en olasıdır?,"A) Gaster 
 B) Bulbus duodeni 
 C) Pars descendens duodeni 
 D) Pars horizontalis duodeni 
 E) Flexura duodenojejunalis",C
Normal doğum sırasında corpus perineale (centrum perinei) yırtığı gelişen bir kadında aşağıdaki kaslardan hangisinin etkilenmesi en az olasıdır?,"B) Musculus bulbospongiosus 
 C) Musculus transversus perinei superficialis 
 D) Musculus puborectalis 
 E) Musculus sphincter ani externus 
 A) Musculus ischiocavernosus",A
Hücre siklusunun hangi fazında siklin D’nin aktivasyonu Rb proteininin fosforilasyonunu uyarır?,"A) M fazı
 B) Geç G2 fazı 
 C) Erken G1 fazı 
 D) Geç G1 fazı 
 E) Erken S fazı",C
Aşağıdakilerden hangisinin yapısında perikondriyum içermeyen hiyalin kıkırdak bulunur?,"A) Kulak kepçesi 
 C) Eklem kıkırdağı 
 E) Epiglottis 
 B) Trakea 
 D) İntervertebral disk",C
Tüm hücrelerin bazal membran üzerine oturduğu epitel dokusu tipi aşağıdakilerden hangisidir?,"A) Değişici epitel 
 B) Yalancı çok katlı epitel 
 C) Keratinize çok katlı yassı epitel 
 D) Çok katlı prizmatik epitel 
 E) Çok katlı kübik epitel",B
İntervertebral diskin nukleus pulposus bölümü aşağıdaki embriyonik yapıların hangisinden gelişir?,"A) Nöral krista 
 C) Notokord 
 B) Nöral ektoderm 
 D) Somit 
 E) Endoderm",C
Embriyolojik gelişim sürecinde meydana gelen gastrulasyon nasıl tanımlanır?,"A) Blastokist implantasyonunun tamamlanması 
 
 B) İki tabakalı embriyon diskinin baş-kuyruk ekseninde büyümesi 
 
 C) Embriyonun baş-kuyruk yönünde bükülmesi 
 
 D) Embriyoblastlardan iki tabakalı embriyon diskinin oluşumu 
 
 E) Embriyon diskinin üç tabakalı hâle dönüşmesi",E
Aşağıdaki hücrelerden hangisi hipofiz bezinin arka lobunda bulunur?,"A) Pinealosit 
 C) Kromofob hücre 
 B) Pituisit 
 D) Oksifil hücre 
 E) Folliküler hücre",B
Olfaktör epitelde bulunan nöronlar hangi tiptir?,"A) Psödounipolar 
 B) İnternöron 
 D) Multipolar 
 C) Motor
 E) Bipolar",E
"Aşağıdaki hormonlardan hangisinin hücre içi sinyal iletimindeki temel etki mekanizması, membrandaki reseptörüne bağlanarak hücre içi guanilil siklaz- cGMP ikinci haberci yolağını aktive etmektir?","A) Atrial natriüretik peptid 
 B) Adrenalin 
 C) Anjiyotensin II 
 D) Antidiüretik hormon 
 E) Asetilkolin",A
Myastenia gravis hastalığı ile ilgili aşağıdaki ifadelerden hangisi doğrudur?,"A) Sinir-kas kavşağında presinaptik voltaj kapılı kalsiyum kanallarına karşı antikor olması 
 
 B) Sinir-kas kavşağında presinaptik nörotransmiter salgılanmasını engelleyen nörotoksin olması 
 
 C) Çizgili kasta distrofin proteininin bulunmaması 
 
 D) Bazal gangliyonlarda dopaminerjik nöron ve reseptörlerinin kaybı 
 
 E) Sinir-kas kavşağında postsinaptik asetilkolin reseptörlerine karşı antikor olması",E
Dördüncü kalp sesi ventriküler döngünün hangi evresinde oluşur?,"A) Doluş evresinin ilk 1/3'lük döneminde 
 B) Eş hacimli kasılma döneminin öncesinde 
 C) Eş hacimli gevşeme döneminde 
 D) Eş hacimli kasılma döneminde 
 E) Fırlatma döneminde",B
